RES,-0.063,1.042,0.113,Train,1
RES,-0.210,1.020,0.132,Train,2
MOV,-0.019,1.075,0.004,Train,3
ETC,0.183,1.006,0.101,Train,4
ETC,0.330,0.368,0.892,Train,5
RES,0.010,0.590,0.802,Train,6
GRZ,0.372,0.890,0.145,Train,7
RES,0.143,0.767,0.655,Train,8
RUS,-0.080,1.041,0.138,Train,9
MOV,-0.201,0.507,0.807,Train,10
GRZ,0.196,0.434,0.867,Train,11
MOV,-0.059,0.628,0.739,Train,12
ETC,0.218,0.996,0.133,Train,13
MOV,-0.022,0.810,0.001,Train,14
ETC,0.385,0.443,0.780,Train,15
MOV,-0.216,0.483,1.081,Train,16
RUS,-0.015,1.055,0.056,Train,17
ETC,-0.142,0.660,0.731,Train,18
RUS,-0.024,1.066,0.178,Train,19
GRZ,0.537,0.865,0.324,Train,20
GRZ,0.475,0.926,0.255,Train,21
RES,-0.081,0.855,0.558,Train,22
MOV,-0.103,0.712,0.718,Train,23
GRZ,0.321,0.578,0.653,Train,24
RUS,-0.039,1.019,0.150,Train,25
ETC,0.053,0.164,1.178,Train,26
GRZ,0.421,0.940,0.209,Train,27
MOV,-0.181,0.557,0.733,Train,28
RES,-0.252,0.461,0.816,Train,29
RUS,-0.028,0.864,0.531,Train,30
RES,-0.017,0.868,0.546,Train,31
GRZ,0.353,0.714,0.747,Train,32
RES,-0.104,1.050,0.063,Train,33
GRZ,0.054,0.649,0.834,Train,34
MOV,-0.115,0.358,0.989,Train,35
ETC,0.396,0.175,0.906,Train,36
RUS,-0.018,1.037,0.153,Train,37
ETC,0.353,0.765,0.612,Train,38
ETC,-0.143,0.197,0.947,Train,39
MOV,-0.203,0.611,0.789,Train,40
GRZ,0.051,0.711,0.875,Train,41
GRZ,0.292,0.755,0.671,Train,42
RES,-0.158,0.504,0.835,Train,43
RUS,0.005,1.021,0.183,Train,44
GRZ,0.121,0.584,0.747,Train,45
RES,-0.109,0.725,0.727,Train,46
GRZ,0.263,0.783,0.762,Train,47
MOV,-0.184,0.796,0.615,Train,48
RES,-0.016,0.865,0.536,Train,49
RES,0.031,0.684,0.753,Train,50
MOV,0.140,0.910,0.405,Train,51
ETC,0.065,0.453,0.840,Train,52
RES,-0.024,0.579,0.805,Train,53
MOV,-0.060,0.504,0.779,Train,54
ETC,-0.261,0.510,0.914,Train,55
RES,-0.032,0.995,0.244,Train,56
MOV,0.077,0.914,0.657,Train,57
GRZ,0.027,0.743,0.641,Train,58
MOV,-0.025,1.101,0.388,Train,59
RUS,-0.043,1.061,0.109,Train,60
RUS,-0.009,1.067,0.020,Train,61
RES,-0.352,0.259,0.871,Train,62
GRZ,0.341,1.011,0.129,Train,63
GRZ,0.203,0.956,0.183,Train,64
RES,-0.189,0.304,0.903,Train,65
ETC,0.136,0.086,0.955,Train,66
ETC,-0.133,0.188,0.947,Train,67
RUS,-0.086,1.000,0.154,Train,68
ETC,0.199,0.097,0.969,Train,69
RES,0.151,0.989,0.210,Train,70
RUS,0.120,1.037,0.107,Train,71
GRZ,0.221,0.806,0.734,Train,72
RUS,-0.029,1.005,0.131,Train,73
RES,0.005,0.996,0.265,Train,74
RES,-0.443,0.746,0.555,Train,75
ETC,-0.030,0.738,0.705,Train,76
RUS,-0.047,1.064,0.050,Train,77
RES,-0.282,0.387,0.859,Train,78
RUS,0.007,1.041,0.064,Train,79
ETC,0.142,0.107,0.969,Train,80
GRZ,0.164,0.764,0.772,Train,81
GRZ,0.238,0.651,0.640,Train,82
RUS,-0.029,1.030,0.158,Train,83
RES,-0.107,0.727,0.729,Train,84
RES,-0.188,0.760,0.655,Train,85
RES,-0.320,0.649,0.676,Train,86
RUS,-0.001,1.069,0.049,Train,87
ETC,0.132,0.044,0.956,Train,88
MOV,-0.100,1.069,0.884,Train,89
RES,0.019,0.633,0.764,Train,90
GRZ,0.408,1.078,0.393,Train,91
ETC,0.241,1.020,0.184,Train,92
ETC,0.456,0.595,0.668,Train,93
GRZ,0.312,0.769,0.666,Train,94
ETC,-0.004,1.058,0.212,Train,95
ETC,0.145,0.058,0.949,Train,96
GRZ,0.163,0.729,0.778,Train,97
RES,0.017,0.587,0.802,Train,98
MOV,-0.155,0.599,0.076,Train,99
GRZ,0.446,0.982,-0.021,Train,100
RES,-0.128,1.008,0.168,Train,101
GRZ,0.105,0.999,0.175,Train,102
ETC,0.242,0.610,0.857,Train,103
RES,-0.085,0.998,0.227,Train,104
GRZ,0.332,0.548,0.867,Train,105
GRZ,0.319,0.389,0.678,Train,106
MOV,-0.116,0.628,0.820,Train,107
MOV,-0.261,0.874,0.365,Train,108
ETC,0.040,1.020,0.193,Train,109
MOV,-0.050,0.747,0.771,Train,110
ETC,0.367,0.280,0.873,Train,111
GRZ,0.001,0.685,0.642,Train,112
MOV,-0.109,1.013,0.260,Train,113
MOV,-0.003,0.363,0.871,Train,114
RES,-0.311,0.374,0.859,Train,115
RES,-0.308,0.453,0.824,Train,116
GRZ,0.052,0.596,0.491,Train,117
RES,0.001,0.877,0.521,Train,118
RUS,-0.041,1.040,0.166,Train,119
RUS,-0.085,1.010,0.159,Train,120
ETC,0.271,0.420,0.800,Train,121
GRZ,0.363,0.536,0.692,Train,122
RUS,0.008,1.072,0.063,Train,123
GRZ,0.403,0.928,0.083,Train,124
GRZ,0.273,0.403,0.865,Train,125
RUS,-0.028,1.026,0.140,Train,126
GRZ,0.494,0.859,0.012,Train,127
ETC,0.551,0.084,0.718,Train,128
ETC,0.437,0.576,0.708,Train,129
GRZ,0.323,0.790,-0.010,Train,130
GRZ,0.155,0.995,0.140,Train,131
RES,-0.180,0.384,0.895,Train,132
RUS,-0.088,1.071,0.068,Train,133
GRZ,0.287,0.771,-0.017,Train,134
RES,-0.490,0.699,0.573,Train,135
RES,-0.088,0.993,0.235,Train,136
MOV,-0.210,0.851,0.656,Train,137
GRZ,0.291,0.702,0.696,Train,138
RUS,-0.059,1.012,0.197,Train,139
RUS,-0.095,1.028,0.089,Train,140
ETC,0.158,0.073,0.913,Train,141
MOV,0.451,1.205,0.290,Train,142
RES,-0.101,0.777,0.638,Train,143
GRZ,0.437,0.693,0.686,Train,144
RUS,-0.067,1.023,0.157,Train,145
RUS,-0.017,1.016,0.160,Train,146
RES,-0.232,0.246,0.899,Train,147
GRZ,0.234,0.485,0.670,Train,148
ETC,-0.036,0.745,0.702,Train,149
MOV,-0.192,0.603,0.889,Train,150
ETC,0.549,0.334,0.631,Train,151
RES,-0.080,0.973,0.332,Train,152
MOV,-0.210,1.160,0.641,Train,153
RES,-0.086,0.974,0.320,Train,154
ETC,0.014,1.034,0.063,Train,155
RES,-0.481,0.556,0.682,Train,156
MOV,-0.095,0.883,0.381,Train,157
RES,-0.230,0.383,0.883,Train,158
MOV,-0.185,0.818,0.336,Train,159
RUS,-0.063,1.064,0.199,Train,160
MOV,-0.017,1.021,0.581,Train,161
GRZ,0.458,1.097,-0.076,Train,162
GRZ,0.005,1.017,0.187,Train,163
RUS,-0.018,1.001,0.143,Train,164
RUS,-0.036,1.034,0.162,Train,165
ETC,0.350,0.444,0.821,Train,166
ETC,-0.086,0.838,0.563,Train,167
RES,-0.099,0.761,0.683,Train,168
ETC,0.304,0.399,0.854,Train,169
ETC,0.117,0.054,0.913,Train,170
ETC,0.352,0.436,0.797,Train,171
GRZ,0.070,0.330,0.535,Train,172
ETC,0.144,0.000,0.960,Train,173
MOV,0.322,0.795,0.655,Train,174
RUS,-0.045,1.004,0.168,Train,175
RUS,0.008,0.844,0.246,Train,176
RUS,-0.078,1.003,0.205,Train,177
RES,-0.080,0.970,0.359,Train,178
RUS,-0.075,1.007,0.170,Train,179
ETC,-0.039,0.733,0.712,Train,180
RES,0.029,0.865,0.150,Train,181
MOV,-0.088,0.823,0.106,Train,182
ETC,0.022,0.830,0.592,Train,183
RES,-0.088,0.852,0.552,Train,184
RUS,-0.027,1.016,0.151,Train,185
ETC,0.514,0.479,0.800,Train,186
ETC,0.224,0.991,0.116,Train,187
ETC,0.550,0.125,0.850,Train,188
GRZ,0.292,0.769,0.673,Train,189
RES,-0.024,0.993,0.253,Train,190
MOV,-0.024,0.883,0.462,Train,191
GRZ,0.281,0.812,0.006,Train,192
ETC,0.122,0.059,0.962,Train,193
GRZ,0.505,0.960,0.757,Train,194
ETC,-0.100,1.031,0.139,Train,195
MOV,-0.070,0.902,0.088,Train,196
GRZ,0.341,0.517,0.866,Train,197
RES,-0.482,0.546,0.672,Train,198
GRZ,0.400,1.113,0.331,Train,199
MOV,-0.098,0.307,0.846,Train,200
RES,-0.391,0.714,0.610,Train,201
RES,-0.320,0.450,0.861,Train,202
RES,-0.061,0.530,0.859,Train,203
RES,-0.498,0.601,0.626,Train,204
RUS,0.010,1.028,0.154,Train,205
ETC,-0.037,1.037,0.203,Train,206
GRZ,0.352,1.050,0.165,Train,207
ETC,0.005,1.021,0.197,Train,208
RUS,-0.086,1.039,0.058,Train,209
MOV,0.002,1.147,0.219,Train,210
GRZ,0.302,0.914,0.754,Train,211
RES,-0.121,0.193,0.945,Train,212
ETC,0.111,1.052,0.165,Train,213
ETC,0.003,1.078,0.160,Train,214
ETC,-0.100,1.048,0.027,Train,215
RUS,0.098,1.060,0.241,Train,216
ETC,0.037,0.996,0.143,Train,217
RUS,-0.091,1.002,0.236,Train,218
RES,-0.036,0.826,0.587,Train,219
RUS,-0.082,0.995,0.120,Train,220
GRZ,0.229,1.026,0.056,Train,221
RES,-0.204,0.613,0.779,Train,222
GRZ,0.250,0.628,0.617,Train,223
MOV,-0.004,1.056,0.507,Train,224
MOV,-0.374,0.326,0.841,Train,225
MOV,-0.246,0.660,0.699,Train,226
MOV,-0.275,0.327,0.859,Train,227
RES,-0.110,0.734,0.692,Train,228
MOV,0.041,0.748,0.162,Train,229
MOV,-0.027,0.864,0.551,Train,230
ETC,0.005,1.019,0.181,Train,231
RES,0.065,1.001,0.148,Train,232
RUS,-0.039,1.014,0.154,Train,233
MOV,-0.228,0.752,0.730,Train,234
ETC,0.227,1.070,0.139,Train,235
GRZ,0.289,0.392,0.932,Train,236
RUS,0.025,1.073,0.123,Train,237
RES,-0.484,0.564,0.663,Train,238
ETC,-0.004,1.052,0.109,Train,239
ETC,0.380,0.420,0.812,Train,240
RES,-0.206,0.629,0.778,Train,241
GRZ,0.095,0.916,0.671,Train,242
RUS,-0.076,0.997,0.187,Train,243
GRZ,0.100,0.255,0.658,Train,244
RUS,-0.033,1.007,0.177,Train,245
GRZ,0.568,0.597,0.976,Train,246
RUS,-0.026,1.036,0.216,Train,247
MOV,0.002,0.998,0.427,Train,248
ETC,0.156,0.075,0.943,Train,249
GRZ,0.077,0.655,0.864,Train,250
ETC,0.611,-0.045,0.699,Train,251
RUS,-0.039,1.046,0.113,Train,252
GRZ,-0.086,0.380,0.775,Train,253
RES,-0.148,0.982,0.259,Train,254
RUS,0.002,1.017,0.177,Train,255
MOV,-0.095,0.428,0.856,Train,256
GRZ,0.196,0.591,0.800,Train,257
ETC,-0.004,0.252,0.331,Train,258
RUS,-0.067,1.001,0.210,Train,259
ETC,0.005,0.795,0.606,Train,260
ETC,-0.021,-0.551,0.764,Train,261
GRZ,0.605,0.949,0.246,Train,262
MOV,-0.358,0.604,0.671,Train,263
RUS,-0.025,1.085,0.032,Train,264
GRZ,0.363,0.537,0.530,Train,265
RUS,0.030,1.033,0.140,Train,266
MOV,-0.035,1.039,0.041,Train,267
MOV,-0.055,0.767,0.591,Train,268
RUS,-0.089,1.002,0.158,Train,269
GRZ,0.049,0.650,0.653,Train,270
RUS,-0.023,1.007,0.205,Train,271
RES,-0.102,1.040,0.094,Train,272
GRZ,0.349,0.995,-0.062,Train,273
GRZ,0.207,0.593,0.712,Train,274
GRZ,0.288,0.688,0.752,Train,275
MOV,-0.093,0.797,0.182,Train,276
RES,0.103,0.856,0.550,Train,277
ETC,-0.070,0.521,0.173,Train,278
GRZ,0.455,0.570,0.834,Train,279
RES,-0.392,0.750,0.591,Train,280
ETC,0.030,1.108,0.070,Train,281
RUS,-0.016,0.995,0.183,Train,282
RES,-0.095,1.030,0.161,Train,283
RES,-0.077,1.042,0.089,Train,284
MOV,-0.159,0.702,0.697,Train,285
MOV,0.033,1.082,-0.009,Train,286
ETC,0.407,0.577,0.690,Train,287
RUS,-0.037,1.017,0.176,Train,288
GRZ,0.100,0.391,0.778,Train,289
RES,-0.289,0.778,0.594,Train,290
RUS,-0.070,1.040,0.073,Train,291
RES,-0.089,1.021,0.147,Train,292
RUS,-0.023,1.000,0.151,Train,293
ETC,0.509,0.447,0.731,Train,294
MOV,-0.013,1.008,0.524,Train,295
ETC,-0.041,0.695,0.742,Train,296
RUS,0.057,0.994,0.252,Train,297
MOV,0.024,1.044,0.196,Train,298
MOV,0.128,0.995,0.112,Train,299
RES,-0.004,0.809,0.608,Train,300
ETC,-0.054,0.897,0.494,Train,301
RUS,-0.027,1.015,0.189,Train,302
RES,-0.153,0.721,0.692,Train,303
ETC,0.021,0.425,0.895,Train,304
ETC,0.354,0.380,0.812,Train,305
ETC,-0.278,0.533,0.887,Train,306
ETC,0.859,0.015,0.668,Train,307
ETC,-0.272,0.640,0.626,Train,308
MOV,-0.109,1.229,0.080,Train,309
MOV,0.006,1.112,0.010,Train,310
